Ant	c4	c37	c10	c2	c25	c15	c18	c36	c12	c30	c20	c6	c21	c14	c42	c34	c27	c11	c19	c17	c24	c3	c31	c9	c26	c41	c7	c5	c0	c33	c35	c40	c28	c23	c38	c13	c39	c29	c22	c32	c16	c1	c8
Gyne_20190815	481	130	323	466	172	241	180	84	369	150	187	351	208	190	6	113	221	308	176	256	197	527	143	280	161	20	352	370	630	58	78	51	126	172	90	153	69	141	189	154	215	533	319
Gyne_20190918	311	80	180	310	127	161	106	73	337	83	140	298	101	139	2	61	104	164	124	134	137	489	95	182	125	20	224	149	445	18	41	46	77	67	44	174	41	89	153	93	183	363	222
Gyne_20190920	969	197	579	968	388	403	347	167	692	206	405	774	272	399	12	188	424	476	328	265	350	1282	293	636	373	59	638	404	1353	79	147	112	257	330	156	394	104	158	245	228	468	1070	707
Gyne_20190924	796	263	538	766	340	265	407	179	582	182	397	612	279	316	5	248	354	428	292	377	378	495	193	470	261	56	624	456	1187	76	147	112	200	281	95	277	116	199	364	199	334	958	696
Male_20191206	620	157	519	785	433	507	164	180	334	127	408	785	184	112	9	242	434	185	115	155	114	381	15	519	41	40	739	232	1023	67	89	152	249	191	67	762	51	131	144	172	709	1042	309
Male_20191220	460	108	383	637	544	566	190	225	193	71	364	850	109	166	19	116	326	158	124	119	35	158	7	364	58	39	663	102	992	62	59	188	235	191	93	721	54	108	157	143	721	813	391
Male_20200115	549	156	347	682	645	662	220	237	173	91	389	1065	135	206	19	146	473	168	121	127	42	205	9	411	73	27	581	148	938	96	56	177	254	181	106	885	71	128	175	111	883	698	408
Male_20200210	603	136	302	842	515	588	155	293	364	136	455	1109	211	103	25	138	333	203	135	307	72	351	0	369	14	35	561	238	815	30	45	214	201	163	68	606	108	182	251	158	743	606	333
Queen_20190720	204	60	180	275	6	85	112	50	189	96	97	87	108	84	2	61	16	179	111	171	107	331	52	200	46	20	156	299	429	44	43	11	64	92	62	89	33	88	156	107	44	416	203
Queen_20190725	910	139	582	932	36	359	389	112	245	186	390	420	297	417	5	155	97	583	432	415	237	562	344	756	259	84	592	626	1523	178	176	20	250	326	186	217	103	227	376	235	156	1149	557
Queen_20190803	880	142	610	903	94	348	406	145	425	315	435	472	369	399	7	228	120	738	485	563	293	918	318	843	295	72	628	820	1574	203	200	46	286	314	186	249	118	277	511	242	227	1148	552
Queen_20191108	391	74	251	435	16	124	224	83	304	107	147	182	125	184	4	102	35	245	193	246	168	368	103	347	109	36	275	285	698	79	95	24	112	157	94	155	63	108	217	132	54	479	359
Worker_20190604	214	77	243	385	4	97	199	60	138	149	20	111	202	263	0	98	11	302	177	222	152	422	138	212	170	35	240	713	506	193	193	4	72	135	74	39	48	137	98	90	0	487	283
Worker_20190605	298	68	287	557	5	85	301	69	277	214	23	145	257	403	0	127	5	490	340	268	240	689	232	351	236	49	327	916	703	342	259	5	99	153	109	39	51	163	136	132	0	654	381
Worker_20190610	249	58	164	389	1	66	180	54	143	159	6	87	280	226	0	123	1	294	213	189	148	518	114	253	145	37	235	621	454	174	141	8	82	99	72	48	47	117	96	85	0	446	227
Worker_20190614	526	132	329	653	3	99	340	88	215	204	26	159	306	479	0	137	6	511	350	328	267	779	254	448	279	46	384	1137	847	314	287	14	122	277	126	76	73	199	218	190	0	774	571
Worker_20190617	803	175	491	862	5	141	571	130	389	296	49	344	424	761	0	191	12	743	483	461	416	1053	405	655	462	104	613	1429	1350	534	414	21	179	356	190	130	110	329	312	266	0	1030	840
