Dmel	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86
Female_DGRP_r1	745	791	446	438	461	507	209	8	182	238	333	185	163	174	245	190	179	143	127	89	104	105	65	2	56	100	71	76	45	65	98	42	62	50	131	31	60	41	56	70	45	29	44	78	60	43	60	55	42	17	91	28	33	40	35	38	62	29	29	41	72	31	39	17	44	24	37	20	38	44	39	45	15	18	16	19	12	9	35	10	5	41	37	18	16	5	8
Female_DGRP_r2	404	452	256	328	287	307	147	184	271	173	172	156	122	159	70	106	110	93	79	77	68	73	78	8	60	16	71	64	41	79	63	38	79	57	43	93	47	13	31	32	44	33	31	50	19	40	33	28	33	16	10	25	24	32	26	31	61	12	34	17	23	14	34	38	34	24	27	26	15	15	14	24	17	19	12	12	7	8	18	9	10	0	13	11	10	7	4
Female_w1118_r1	519	414	364	300	307	282	222	8	184	167	134	174	160	96	141	105	97	73	73	83	61	92	65	7	37	38	66	49	49	82	49	50	36	42	18	75	71	41	60	62	41	26	49	45	45	37	43	33	48	35	7	31	27	14	31	35	14	39	17	20	28	34	22	12	30	22	29	33	24	16	34	11	18	31	25	14	22	20	9	19	11	1	1	8	4	3	3
Female_w1118_r2	157	162	122	134	99	108	135	289	101	74	25	72	67	57	61	49	53	33	40	65	65	47	43	97	90	41	57	38	33	21	25	69	6	63	15	29	18	65	18	18	27	44	24	20	12	22	12	16	15	18	9	32	30	34	30	14	2	14	11	17	10	14	11	26	6	14	17	15	23	13	27	9	20	8	9	14	16	17	2	4	4	2	0	4	3	4	3
Female_w1118_r3	176	193	181	164	106	84	158	457	158	96	23	80	92	59	18	50	60	57	50	78	97	56	88	5	60	66	54	35	70	21	27	50	5	89	10	4	19	89	25	18	36	67	23	20	21	31	7	25	29	47	20	32	20	16	25	13	7	29	26	16	13	18	13	26	9	5	20	11	17	8	26	11	24	6	15	8	20	16	5	8	14	5	0	6	3	2	3
Male_DGRP_r1	850	855	507	423	475	456	281	9	228	284	444	242	170	177	267	227	184	199	130	80	105	113	99	9	81	136	45	113	71	81	107	56	156	34	141	38	78	48	76	67	56	24	60	55	51	43	75	64	52	19	101	28	37	35	49	57	51	29	49	47	33	25	47	21	47	35	28	27	36	42	20	31	13	33	10	21	19	11	18	24	17	35	25	15	18	16	3
Male_DGRP_r2	335	315	222	234	192	180	144	156	140	130	147	120	78	99	42	93	83	67	74	41	52	58	53	5	67	16	43	64	45	39	61	43	99	21	40	56	25	12	25	24	29	21	33	20	22	26	25	20	17	13	5	15	18	24	18	21	46	11	18	14	19	14	22	28	16	28	21	18	13	15	7	21	12	9	11	12	6	11	13	6	13	4	4	7	6	4	0
Male_w1118_r1	555	496	444	306	350	224	264	2	145	200	92	189	163	106	150	116	107	66	95	84	46	96	59	8	30	49	53	47	50	86	48	37	44	21	23	77	66	20	61	44	32	18	41	29	60	26	45	39	36	41	13	18	44	21	21	33	14	43	17	20	34	48	18	12	23	27	23	23	19	25	14	16	18	21	16	20	11	10	19	15	10	2	3	8	2	13	2
Male_w1118_r2	218	231	185	169	149	115	179	304	128	99	33	109	92	87	67	65	69	50	70	92	78	61	94	539	127	86	49	31	65	32	23	71	11	52	34	41	42	62	26	27	39	49	23	12	21	39	20	28	23	46	13	41	23	50	31	22	4	31	19	39	6	14	18	20	9	32	9	32	20	13	10	18	25	4	15	17	11	21	3	15	7	2	2	4	4	3	2
Male_w1118_r3	150	170	125	128	96	56	187	326	105	84	19	73	57	56	8	47	44	61	42	58	60	32	44	1	40	37	53	26	49	10	13	51	5	42	3	6	13	44	14	20	26	40	19	5	18	18	5	12	21	44	17	30	22	11	10	7	4	22	26	15	1	20	6	29	7	8	7	11	10	14	9	7	11	6	10	1	7	4	2	7	8	3	1	3	7	2	1
