Dmelhead	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81
Female_FCA13	2883	264	405	435	104	122	110	97	104	32	120	91	78	70	42	80	51	63	64	58	61	55	29	34	41	45	42	48	53	44	34	31	41	28	41	46	0	45	27	39	22	29	12	25	29	8	31	22	23	25	18	20	20	19	14	15	17	10	16	14	14	15	11	8	9	4	9	3	6	15	3	2	5	0	0	1	0	0	0	0	0	0
Female_FCA14	2676	333	355	343	114	112	116	94	125	107	67	93	73	70	37	58	28	64	50	56	61	57	46	21	55	39	43	43	40	40	31	34	32	17	44	46	33	31	35	21	20	22	9	21	15	11	20	9	19	24	15	24	23	21	13	4	16	7	14	21	8	10	10	7	0	10	5	2	6	6	6	5	1	2	12	2	0	0	1	0	0	0
Female_FCA15	2828	294	379	400	88	116	88	110	140	72	90	78	73	79	47	76	56	68	51	38	76	77	49	29	41	49	41	41	37	47	24	49	44	21	37	31	30	35	41	28	36	19	14	19	19	7	23	22	25	23	16	24	28	20	5	18	19	8	10	10	17	14	12	11	11	3	9	7	4	6	12	4	11	1	9	1	0	0	1	1	0	0
Female_FCA7	4858	579	465	467	223	160	206	169	151	125	127	163	119	138	131	99	142	107	124	99	52	75	79	68	65	70	70	78	60	67	80	60	63	83	65	48	49	43	57	46	21	35	65	29	35	48	18	31	23	26	36	17	20	23	27	27	23	30	19	19	18	11	17	13	28	11	14	20	13	6	9	9	9	10	2	1	4	0	0	1	1	1
Female_FCA8	3991	853	581	500	231	206	139	193	127	258	169	177	136	113	112	98	121	92	79	107	46	63	69	72	57	64	60	46	57	44	58	65	46	60	50	36	50	38	51	37	38	45	50	28	30	40	28	22	33	24	27	15	14	24	18	4	22	31	14	19	17	10	8	7	0	11	7	12	8	9	9	2	6	6	18	7	0	3	0	0	1	0
Female_FCA9	4108	505	427	430	199	144	172	173	131	106	117	106	121	122	132	84	115	80	102	88	40	59	73	82	69	57	58	60	62	57	65	66	59	77	53	48	52	43	59	34	41	24	69	34	24	41	25	24	31	31	29	29	26	23	18	26	10	24	9	9	14	9	8	8	25	10	15	10	9	9	3	9	3	5	2	0	3	0	0	0	0	0
Male_FCA10	2893	386	325	299	107	98	75	74	99	72	97	60	66	72	61	72	54	54	63	69	58	38	52	24	37	30	28	30	32	36	25	28	39	15	45	26	37	30	30	20	32	29	7	30	25	7	16	19	19	16	14	22	16	15	17	21	15	5	13	8	12	12	8	7	11	11	8	3	9	8	9	2	5	1	0	1	1	0	0	0	0	0
Male_FCA11	2827	361	262	269	75	89	103	73	86	61	80	80	66	84	50	66	34	49	67	43	50	45	34	22	44	29	33	34	29	36	30	40	20	22	37	28	29	25	33	17	37	23	10	18	26	10	14	15	11	16	6	16	14	20	15	20	11	4	15	16	6	10	7	7	11	9	10	1	7	5	6	3	4	1	2	2	2	1	0	0	0	0
Male_FCA12	2919	403	315	250	90	99	104	68	92	23	75	75	69	78	44	52	37	58	54	55	44	49	46	15	33	33	43	37	31	38	31	27	30	15	44	17	0	34	35	23	23	14	9	29	15	7	11	15	19	17	11	20	20	9	13	22	14	4	16	11	6	12	7	10	11	10	12	0	4	2	2	2	7	3	0	3	2	1	0	1	0	0
Male_FCA4	4411	731	506	391	186	147	165	182	117	191	131	130	139	106	97	98	105	95	73	100	57	61	76	69	59	52	56	48	47	49	59	54	45	59	61	54	57	28	49	35	38	39	36	34	28	42	30	33	25	21	35	16	15	22	28	4	22	23	17	15	22	11	6	13	0	9	13	17	9	7	10	8	5	10	14	1	5	0	1	0	0	0
Male_FCA5	4360	545	537	414	184	160	131	130	119	181	115	146	118	152	125	96	100	90	94	86	59	64	68	92	57	64	53	53	53	55	63	44	56	57	60	40	64	37	52	34	40	48	25	26	25	46	32	33	24	23	28	25	23	23	27	28	7	19	14	13	10	16	18	12	6	9	5	14	13	11	7	9	6	13	2	0	2	1	3	0	0	1
Male_FCA6	4442	574	610	387	200	142	173	170	104	205	132	129	145	127	121	99	104	101	90	80	41	60	66	98	53	62	57	61	60	71	49	48	37	62	60	46	51	38	59	34	25	35	39	39	33	43	17	36	24	21	37	22	29	17	29	21	33	23	18	24	15	15	12	14	5	15	7	10	12	9	13	8	7	13	0	3	4	1	0	3	2	0
